address,restaurant,type,region,food_subtype
"7500A Beach Road The Plaza #B1-310, The Plaza, Singapore 199591 Singapore",Uni Gallery by OosterBay,"Japanese,Sushi,Asian",CENTRAL,unagi#soup#fish#seafood#salad#egg#oyster#sushi#miso#caviar#sesame#crab meat#miso soup#umami#bone marrow#japanese#sashimi#foie gras#urchin#sea urchin#squid#fresh sashimi#tuna#tea#quail#quail egg#beer#cafe#asian#noodle#fish head#soup noodle#wagyu#izakaya#sashimi sushi#salmon#beef#cod#wagyu beef#crabmeat#salmon sashimi#kurobuta#ice cream#udon#teriyaki#avocado#octopus
"27 Seah Street # 01-01, Singapore 188383 Singapore",Entre Nous Creperie,"French,European,Healthy",CENTRAL,crepe#caramel#sweet crepe#soup#onion soup#shrimp#cafe#apple#desert#pancake#cider#chicken#dessert#truffle#mushroom soup#truffle oil#roasted chicken#salmon#spinach#vegetarian#avocado#duck#confit#duck confit#indonesian#escargot#cheese#salad#chocolate#hot chocolate#egg#ham#lemon#ice cream#white truffle#banana#creme brulee#beer#juice#bread#roast chicken#vanilla#breakfast#vegan#goat cheese#wine list#champagne#red wine#allergy#smoked salmon#chorizo#coconut#scallop#clam#gratin#japanese#potato#bacon#popiah#coconut ice#coconut ice cream#coffee#asian#milkshake#vanilla ice cream#prawn#beef#panna cotta#greek#fried egg#cocktail#white wine#blue cheese#waffle#strawberry#baguette#western#american#espresso#durian#chinese#tea#fruit#seafood#ice tea#omelette#wine service#icecream#caviar#glass wine#chicken rice#cappuccino#chestnut#bruschetta
"1 Nanson Road Intercontinental Singapore Robertson Quay InterContinental Singapore Robertson Quay, Singapore 238909 Singapore",Publico Ristorante,"Italian,Pizza,International",CENTRAL,pizza#burrata#chorizo#truffle#italian#tagliatelle#pasta#lamb#pizza pasta#lemonade#tiramisu#bruschetta#steak#apple#truffle fries#cider#pasta pizza#dessert#gratin#chicken#linguine#vongole#prosciutto#cake#seafood#coffee#beef#salad#gelato#rib#short rib#beef short#beef short rib#cocktail#espresso#black truffle#chocolate#ravioli#seafood pasta#pork#cheese#ham#calamari#caramel#mozzarella#truffle oil#porcini#squid#champagne#carbonara#vino#sourdough#ice cream#foie gras#risotto#octopus#grilled octopus#soup#spaghetti#carpaccio#beef carpaccio#truffle pasta#panna cotta#margarita#sangria#western#desert#vegan#chocolate cake#cheesecake#mojito#lamb chop#meatball#beer#angus#angus beef#fresh seafood#burrata cheese#egg#spanish#lobster#vegetarian#beef steak#red wine#seabass#asian#bread#lobster pasta#wagyu#wagyu steak#ragu#bottle wine#fish#sea bass#dessert tiramisu#wine list#pasta dish#roast chicken#penne#lasagna#spinach#ricotta#grilled pork#pulled pork#chicken tender#garlic bread#mackerel#bbq#fine dining#mushroom soup#pork chop#allergy#vanilla#vanilla ice cream#iberico#iberico pork#lamb shank#lychee#martini#antipasti#italian wine#shrimp#tartare#beef tartare#cappuccino#steakhouse#korean#potato#mashed potato#icecream#veal#seafood soup#juice#cafe#ragout#prawn#king prawn#avocado#snapper#japanese#glass wine#goat cheese#charcuterie#clam#mediterranean#bone marrow#asparagus
"21 Amber Road # 03 Chinese Swimming Club 01, Singapore 439870 Singapore",Fu Lin Men (CSC),"Chinese,Asian,Cantonese",EAST,duck#peking duck#tim sum#chinese#chinese cuisine#cantonese#yam#yam paste#chicken#dim sum#lobster#dessert#soup#fish#noodle#truffle#abalone#chicken soup#red bean#pork#egg#salted egg#white wine#salted egg yolk#cake#mango#char siew#carrot cake#tea#mango pudding#duck meat#tofu#fried chicken#sweet sour pork#cantonese cuisine#kurobuta#kurobuta pork#roasted chicken#shark fin#vegetable#wine list#asparagus#roasted duck#seafood#seafood soup#mee sua#breakfast#dimsum#prawn#dumpling#michelin#fried rice#michelin star#spanish#roasted pork#fried egg#prawn dumpling#lychee#beef#spinach#sotong#fine dining#pumpkin soup#pork belly#roast pork#mian#wok hei#seafood fried rice#pig#suckling pig#spring roll#siew mai#mantou#scallop#snapper#roast chicken#fish skin#soft shell crab#century egg#nonya#curry#shrimp#crispy chicken#bbq#ngoh hiang#crab meat#sesame#sichuan#cold dish#vegetarian#nyonya
"22 Scotts Road Goodwood Park Hotel Goodwood Park Hotel, Singapore 228221 Singapore",Alma By Juan Amador,"European,Fusion,Vegetarian Friendly",CENTRAL,dessert#whisky#bread#michelin#fine dining#michelin star#cake#pork#rib#wagyu#iberico#short rib#iberico pork#tofu#tea#tiramisu#espresso#vegetarian#sandwich#sourdough#salad#lamb#potato#fish#soup#aglio olio#pumpkin soup#chicken#beef#burger#angus#beef burger#angus beef#chicken burger#japanese#truffle#cheese#coffee#wine list#michelin starred#pasta#lobster#lobster pasta#indonesian#sashimi#gula melaka#strawberry#foie gras#apple#angel hair pasta#boston lobster#barramundi#ice cream#duck#desert#bottle wine#caviar#kaya toast#italian#asian#chocolate#scallop#coconut#hokkaido scallop#western#red wine#champagne#pie#seafood#pineapple#allergy#curry#wagyu beef#tartare#vanilla#urchin#green curry#sea urchin#eel#artichoke#vanilla ice cream#sushi#chicken rice#chendol#meringue#chinese#spanish#mutton#glass wine#oyster#asparagus#bone marrow#lemon#lychee#szechuan#quinoa#wine service#tuna#kai lan#quail#pig#beer#breakfast#omelette#banana#avocado#cod#lager#pork belly#crispy pork#roasted pork#white wine#salmon#vegetable#suckling pig#brioche#steak#seabass#sea bass#egg#mousse#dark chocolate#tom yum#fruit#yoghurt#waygu#pork cheek#yam#onion soup#tom yam#roast pork#sangria#cocktail#squid#squid ink#caramel#martini#oxtail#curry sauce#mango#confit#seared scallop#creme brulee#blue cheese#ragout#octopus#chorizo#miso#samosa#beef tartare#masala#papaya
"2 Bayfront Avenue #01-84 Marina Bay Sands The Shoppes at Marina Bay Sands, Singapore 018972 Singapore",Le Noir Bar & Lounge,"Bar,International,",CENTRAL,beer#cocktail#pizza#cake#margarita#mojito#salad#vegetarian#hummus#martini#salmon#sashimi#tuna#strawberry#salmon sashimi#bruschetta#tom yum#pasta#tea#ice tea
"82 Collyer Quay The Fullerton Pavilion Monti At The Fullerton Pavilion, Singapore 049327 Singapore",MONTI,"Italian,Vegetarian Friendly,Vegan Options",CENTRAL,cake#italian#red wine#buffet#vegetarian#italian wine#beef#omakase#prawn#lobster#chocolate#dark chocolate#japanese#foie gras#tiramisu#pork#pork belly#chicken#cheese#duck#egg#bread#truffle#lamb#ice cream#potato#ham#burrata#apple#asparagus#pistachio#veal#parma#parma ham#artichoke#burrata cheese#porcini#risotto#angus#angus beef#beer#pizza#coffee#cocktail#cafe#cup coffee#steak#wagyu#wagyu steak#scallop#cheese platter#hokkaido scallop#confit#duck confit#ribeye#ribeye steak#fine dining#wagyu beef#dessert#barramundi#tagliatelle#grill#ravioli#champagne#pasta#ricotta#mozzarella#soup#onion soup#fish#cod#carpaccio#cod fish#beef carpaccio#wine list#vegan#sirloin#sirloin steak#lamb rack#gnocchi#iberico#iberico pork#ragout#truffle fries#lava cake#panna cotta#brunch buffet#antipasti#bottle wine#salad#tuna#porterhouse#stew#desert#seafood#caviar#espresso#chestnut#breakfast#beef steak#squid#squid ink#miso#seafood pasta#margarita#burger#mango#king prawn#lasagne#salmon#smoked salmon#indian#chinese#umami#calamari#aglio olio#fruit#urchin#sea urchin#bacon#salted egg#salted egg yolk#limoncello#rib eye#spaghetti#fondant#croissant#blue cheese#soft shell crab#chilli crab#pasta dish#chili crab#crab pasta#white wine#glass wine#sashimi#sea bass#chocolate cake#rabbit#fish skin#juice#lemon#baby squid#spanish#pumpkin soup#grilled pork#beef cheek#tartar#chocolate fondant
"B Connaught Drive, S179682 Level 2, Singapore Recreation Club, Singapore 179682 Singapore",Fu Lin Men Chinese Restaurant (SRC),"Chinese,Asian,Singaporean",CENTRAL,duck#egg#dim sum#peking duck#dimsum#soup#dessert#chinese#yam#yam paste#chicken#seafood#abalone#beef#fish#cake#clam#prawn#noodle#fried chicken#cantonese#sambal#iberico#hotpot#tiger prawn#cantonese cuisine#claypot#duck meat#salad#asparagus#tea#coconut#mousse#pork#soft shell crab#crepe#char siew#carrot cake#siew mai#desert#fried rice#roast duck#dumpling#salmon#mango#sichuan#szechuan#lobster#coffee#tim sum#wanton#tofu#cereal prawn#chicken soup#cheese#salted egg#salted egg yolk#roast chicken#hor fun#egg tart#seafood fried rice#vegetarian#beer#nonya#mantou#wok hei#chilli crab#noodle soup#congee
"30 Beach Road, Access via Nicoll Highway JW Marriott Hotel Singapore South Beach, Singapore 189763 Singapore",Akira Back,"Japanese,International,Vegetarian Friendly",CENTRAL,truffle#potato#truffle oil#mash potato#dessert#pizza#wagyu#tuna#chicken#egg#sushi#scallop#panna cotta#hokkaido scallop#fine dining#king crab#alaskan king#alaskan king crab#japanese#cocktail#beef#rib#coconut#foie gras#mango#korean#tartare#miso#caviar#short rib#eel#brioche#meringue#beef tartare#apple#ice cream#cod#sesame#cheesecake#black cod#maki#fried rice#ribeye#tea#oyster#vegetarian#teriyaki#avocado#carpaccio#sashimi#taco#striploin#seafood#pork#fish#desert#salad#shrimp#tempura#wagyu beef#pork belly#crispy pork#steak#chocolate#fondant#wagyu steak#chocolate fondant#chinese#wine list#soup#vanilla#miso soup#salmon#martini#cod fish#strawberry#umami#halibut#unagi#alaskan crab#american#tofu#cold dish#waygu#bottle wine#beef steak#tortilla#red wine#wine service#sea bass#seabass#sushi sashimi#vegetable#allergy#spanish#lemon#prawn#soft shell crab#spinach#caramel#wok hei#risotto#vegan#glass wine#iberico#iberico pork#fresh seafood#asian#fruit#gelato#egg white#beef cheek#western#ramen#salmon sashimi#lobster#bbq#mexican#beef short#braised beef#ceviche#yam#mediterranean#bread#omakase#cafe#champagne#fresh fruit#mozzarella#chicken tender#tuna tartare
"66 Bussorah Street, Singapore 199479 Singapore",Positano Risto,"Italian,Pizza,European",CENTRAL,pasta#cake#lobster#italian#squid#squid ink#ink pasta#squid ink pasta#pizza#lamb#lamb shank#lava cake#halal#truffle#risotto#bruschetta#steak#beef#cheese#spaghetti#crab meat#ragu#chicken#soup#grilled chicken#calamari#egg#scallop#fruit#ravioli#lychee#carbonara#poached egg#baguette#seafood#linguine#lobster pasta#dessert#fine dining#truffle fries#fish#ricotta#caramel#boston lobster#meatball#soft shell crab#seafood pasta#crab pasta#pasta pizza#aglio olio#salmon#lasagna#margarita#lemon#fried chicken#beef steak#vongole#salad#bread#chocolate#ice cream#chocolate cake#pork#asian#tiramisu#mojito#coffee#cafe#caesar salad#milkshake#lasagne#mushroom soup#seafood soup#malaysian#chocolate lava#chocolate lava cake#bacon#iced tea#burger#beef burger#sandwich#bisque#lobster bisque#small cake#spinach#mac cheese#crabmeat#pizza pasta#mediterranean#desert#sticky date pudding#truffle oil#garlic bread#creme brulee#vanilla#vanilla ice cream#mousse#chocolate mousse#vegetarian#ribeye#ribeye steak#allergy#asparagus#mozzarella#rendang#beef rendang#spicy chicken#pasta dish#tagliatelle#middle eastern#grilled meat#lebanese#glass wine#beer#ham#crispy chicken#wagyu#wagyu beef#hamburger#wagyu burger#crab cake#vegetable#prawn#shrimp#bottle wine#mussel#angus#cake dessert#burrata#burrata cheese#potato#mashed potato#strawberry#tenderloin#chinese#rib eye#rib eye steak#veal#prosciutto#blue cheese#noodle#waygu#hot pot#ragout#indian#popcorn#cappuccino#western#panna cotta#smoked salmon#pie#lamb rack#artichoke
